sample_id,gender,type,tissue_old,age,tissue,ACE2,ESR1,ACE1,ESR2,AR,PGR,TMPRSS2
TARGET.20.PARCVS.04,male,cancer,NA,0-19,blood,-2.43E-08,0.215982264,0.358564735,0.266362594,0.043546048,-2.43E-08,-2.43E-08
TARGET.20.PARCZL.04,female,cancer,NA,0-19,blood,0.017002014,0.049932791,0.552952506,0.096835398,0.033641784,0.017002014,0.049932791
TARGET.20.PARCZL.09,female,cancer,NA,0-19,blood,-2.17E-08,0.019656019,1.231935881,0.209447466,0.038858502,-2.17E-08,0.019656019
TARGET.20.PARDDY.04,male,cancer,NA,0-19,blood,0.095218937,0.03731705,-1.39E-08,0.376609369,0.072664269,-1.39E-08,-1.39E-08
TARGET.20.PARDDY.09,male,cancer,NA,0-19,blood,0.718041811,0.041441753,0.118697301,0.538554935,0.041441753,-2.31E-08,-2.31E-08
TARGET.20.PARDMG.09,female,cancer,NA,0-19,blood,-2.40E-08,0.278758843,1.85017664,0.141681413,1.562475545,-2.40E-08,-2.40E-08
TARGET.20.PARENB.09,female,cancer,NA,0-19,blood,-2.56E-08,0.089403441,1.163559215,0.906474872,0.208330248,-2.56E-08,-2.56E-08
TARGET.20.PARFAL.04,male,cancer,NA,0-19,blood,0.036889977,0.507183848,0.357665202,0.740491461,0.018653978,-2.06E-08,-2.06E-08
TARGET.20.PARFAL.09,male,cancer,NA,0-19,blood,-2.68E-08,0.506700053,1.125347899,0.177846238,0.047895063,-2.68E-08,-2.68E-08
TARGET.20.PARGVC.03,male,cancer,NA,0-19,blood,-1.54E-08,-1.54E-08,0.66992565,-1.54E-08,-1.54E-08,-1.54E-08,-1.54E-08
TARGET.20.PARHVK.09,female,cancer,NA,0-19,blood,-1.65E-08,0.02969994,0.920657561,0.150059715,0.378007438,-1.65E-08,-1.65E-08
TARGET.20.PARIHK.03,male,cancer,NA,0-19,blood,-2.08E-08,0.440035291,1.798343804,0.072862288,0.037246443,-2.08E-08,-2.08E-08
